player_name,PTS,+/-,TRB,trueShooting,assistToTurnover,stocks,games,minutesPlayed,usage
Reggie Hanson,4,-1,3,0.16666666666666666,0.16666666666666666,1,3,5.894444444444443,0.2385685884691849
Larry Robinson,219,-58,99,0.4654557146368365,0.3783783783783784,0.918918918918919,37,18.221171171171164,0.36534622560561136
Kornél Dávid,545,-404,304,0.46855357112027923,0.2442708333333333,0.7083333333333334,96,16.307465277777773,0.4027394033417379
Cory Carr,169,-151,48,0.3286776393216132,0.5999999999999999,0.7,40,15.411249999999999,0.4609613144703233
Thurl Bailey,218,-9,109,0.4369196110690305,0.271604938271605,0.8518518518518519,54,12.237654320987653,0.39994841705419193
Anthony Avent,88,-67,82,0.27554418731140584,0.13157894736842105,0.7105263157894737,38,10.294298245614034,0.3763203542081286
Chris King,2,-12,10,0.1,0.2,0.6,5,7.2700000000000005,0.29729606349642274
Dirk Nowitzki,35223,6555,12935,0.5722203209014974,1.1900991230325353,1.6610677864427115,1667,34.36285742851436,0.5766499216815597
Jason Williams,8823,-162,1936,0.47671721383222637,2.5303794992175273,1.227699530516432,852,29.23779342723002,0.40919798808681934
Peja Stojaković,15014,2737,4245,0.5531223379205912,0.8751207729468602,1.0535117056856187,897,33.536064659977754,0.46895676848434403
Jerome James,1682,3,1170,0.4394799289042471,0.18926141885325556,1.469387755102041,343,14.805296404275998,0.4163260499232257
Gerard King,564,-167,385,0.49397104776097217,0.38727272727272727,0.7090909090909091,110,16.358333333333334,0.3425203856036833
Andrew Gaze,12,33,3,0.28125,0.1875,0.375,8,5.097916666666666,0.383129953104635
Matt Harpring,8064,129,3564,0.5284020631056563,0.6812095104521472,0.9046283309957924,713,26.133543712014966,0.4546123559569482
Michael Doleac,2943,-233,2012,0.43576400338301735,0.2609797297297297,0.6976351351351351,592,15.21376689189191,0.3878004766540638
Mark Macon,9,11,5,0.22916666666666666,0.041666666666666664,1,6,11.200000000000001,0.4488098763307553
Gerald Brown,80,-61,21,0.38305842391501493,0.43548387096774194,0.1935483870967742,31,7.562365591397849,0.5058650915643023
Pat Garrity,4147,308,1517,0.4898506428471446,0.34656419529837246,0.6491862567811935,553,20.815039180229068,0.385787237993328
Michael Olowokandi,4166,-1498,3465,0.4231433758409729,0.3077566964285715,1.828125,512,26.082649739583346,0.3950468699873323
Tyrone Nesby,2429,-992,938,0.4856120345899596,0.749468791500664,1.4223107569721116,251,26.506839309428948,0.407628571054086
Jahidi White,1945,-578,1933,0.4951516510123191,0.09409613375130615,1.4764890282131662,319,18.4330198537095,0.3766263381355616
Randell Jackson,106,-42,49,0.3837411034967492,0.15873015873015872,0.6190476190476191,21,12.212698412698412,0.5359687971791073
Raef LaFrentz,5984,-24,3602,0.515837516116372,0.5540740740740742,2.2051282051282053,585,26.41675213675216,0.3851254810530364
Keon Clark,3039,47,2203,0.5045878642347029,0.4243827160493827,2.066137566137566,378,22.27473544973544,0.3945808496870228
Larry Hughes,10859,-1260,3258,0.4704464122229882,1.3913302611367124,1.8735483870967742,775,30.97043010752695,0.5302732693915353
Ricky Davis,10033,-2322,2587,0.49788070951907687,1.4179451463124928,1.2680272108843538,735,30.310317460317492,0.49409506018184174
Brad Miller,10195,1115,6506,0.5373881373897516,1.4298976608187133,1.4144736842105263,912,28.362755847953228,0.40494915626946437
Vince Carter,27319,1809,7082,0.5160927016949824,1.447876276381812,1.5738007380073802,1626,30.389790897909066,0.5422249012079811
Paul Pierce,29575,3487,8511,0.5614123645776431,1.4876815936087462,1.8582781456953643,1510,34.51128035320091,0.5648118145143031
Marlon Garnett,49,-21,20,0.2982197024561815,0.35,0.3,20,9.876666666666667,0.3402808063489272
Michael Dickerson,3274,-559,611,0.5084693137853431,1.3517940199335545,1.4093023255813955,215,35.23108527131783,0.4600499012864089
Bryce Drew,1078,-79,293,0.3985644929425325,1.1769456681350954,0.5814977973568282,227,17.368428781204113,0.337693119779234
Ruben Patterson,7085,-285,2748,0.5387736587252696,0.8639372822299655,1.5426829268292683,656,24.862550813008138,0.45851185764267094
Robert Traylor,2144,-118,1698,0.4588900623447132,0.3490530303030303,1.3818181818181818,440,14.622575757575754,0.40353418580263317
Charles Shackleford,107,-40,127,0.45565740156997997,0.1839080459770115,0.6206896551724138,29,12.378735632183908,0.34929065864265274
Cuttino Mobley,12297,-107,3001,0.5285214670872999,1.292998829544755,1.575679172056921,773,36.957567917205616,0.4564812152047251
Antawn Jamison,20833,-1465,8486,0.5084181801685829,0.830423632218845,1.3634751773049645,1128,34.79989657210397,0.5418575782435565
Mike Bibby,16022,651,3433,0.5147540106812566,2.4201337913294427,1.318840579710145,1104,33.919972826086926,0.4506005992527293
Felipe López,1459,-570,609,0.42662336231734654,0.5371014492753623,0.9782608695652174,230,18.21195652173913,0.4102996455571912
Peter Aluma,2,-4,2,0.5,0,2,1,4.416666666666667,0.9056603773584905
